name,description,price,marketPrice,year,country,condition,category,stock ,imageName1,imageName2,imageName3,imageName4,youtubeUrl,
#BK01 - Jay Hind - Indian Independence - Block of Four - India MNH - 21 Nov 1947,#BK01 - Jay Hind - Indian Independence - Block of Four - India MNH - 21 Nov 1947 - Buy India Stamps - PhilaBasket.com,,1400,1947,india,Mint,"[Block of Four, Freedom, Freedom Fighter]",1,#BK01 - Jay Hind - Indian Independence - Block of Four - India MNH - 21 Nov 1947 - Buy India Stamps - PhilaBasket.com.jpg,main01.png,stamp01_detail.png,,https://www.youtube.com/watch?v=MkGyu60Ie5c,
#BK02 - National Flag - Indian Independence - Block of Four - India MNH - 15 Dec 1947,#BK02 - National Flag - Indian Independence - Block of Four - India MNH - 15 Dec 1947 - Buy India Stamps - PhilaBasket.com,,1800,1947,india,Fine,"[Block of Four, Flag]",1,#BK02 - National Flag - Indian Independence - Block of Four - India MNH - 15 Dec 1947 - Buy India Stamps - PhilaBasket.com.jpg,penny_close.jpg,,,https://youtu.be/example_id,
#BK03 - Inauguration of Air India International - UK Air Service - Block of Four - India MNH - 29 May 1948,#BK03 - Inauguration of Air India International - UK Air Service - Block of Four - India MNH - 29 May 1948 - Buy India Stamps - PhilaBasket.com,,800,1948,india,Used,"[Block of Four, Aviation Stamps, First Flight/ Airmail, Postal, Technology, Transport]",1,#BK03 - Inauguration of Air India International - UK Air Service - Block of Four - India MNH - 29 May 1948 - Buy India Stamps - PhilaBasket.com.jpg,gandhi_02.webp,gandhi_03.webp,gandhi_04.webp,,
"#BK04 - First Anniversary of Independence, Mahatma Gandhi Mourning Issue - Block of Four - India MNH - 15 Aug 1948","#BK04 - First Anniversary of Independence, Mahatma Gandhi Mourning Issue - Block of Four - India MNH - 15 Aug 1948 - Buy India Stamps - PhilaBasket.com",,88000,1948,india,Mint,"[Block of Four, Freedom, Freedom Fighter, Gandhi Stamps, Personality]",1,"#BK04 - First Anniversary of Independence, Mahatma Gandhi Mourning Issue - Block of Four - India MNH - 15 Aug 1948 - Buy India Stamps - PhilaBasket.com.jpg",,,,,
#BK05 - 75th Anniversary of Universal Postal Union - Block of Four - India MNH - 10 Oct 1949,#BK05 - 75th Anniversary of Universal Postal Union - Block of Four - India MNH - 10 Oct 1949 - Buy India Stamps - PhilaBasket.com,,16000,1949,india,Fine,"[Block of Four, Post Office, Postal, Organizations]",1,#BK05 - 75th Anniversary of Universal Postal Union - Block of Four - India MNH - 10 Oct 1949 - Buy India Stamps - PhilaBasket.com.jpg,,,,,
#BK06 - Inauguration of Republic of India - Block of Four - India MNH - 26 Jan 1950,#BK06 - Inauguration of Republic of India - Block of Four - India MNH - 26 Jan 1950 - Buy India Stamps - PhilaBasket.com,,12000,1950,india,Used,"[Block of Four, Freedom, Social Message, Cultural Theme]",1,#BK06 - Inauguration of Republic of India - Block of Four - India MNH - 26 Jan 1950 - Buy India Stamps - PhilaBasket.com.jpg,,,,,
#BK07 - Geological Survey of India - Block of Four - India MNH - 13 Jan 1951,#BK07 - Geological Survey of India - Block of Four - India MNH - 13 Jan 1951 - Buy India Stamps - PhilaBasket.com,,240,1951,india,Mint,"[Block of Four, Animal & Wildlife]",1,#BK07 - Geological Survey of India - Block of Four - India MNH - 13 Jan 1951 - Buy India Stamps - PhilaBasket.com.jpg,,,,,
#BK08 - First Asian Games - Block of Four - India MNH - 04 Mar 1951,#BK08 - First Asian Games - Block of Four - India MNH - 04 Mar 1951 - Buy India Stamps - PhilaBasket.com,,6000,1951,india,Fine,"[Block of Four, Sports Stamps, ]",1,#BK08 - First Asian Games - Block of Four - India MNH - 04 Mar 1951 - Buy India Stamps - PhilaBasket.com.jpg,,,,,
"#BK09 - Indian Saints and Poets - Kabir das, Surdas, Tulsidas, Meera, Galib, RavindraNath Tagore - Block of Four - India MNH - 01 Oct 1952","#BK09 - Indian Saints and Poets - Kabir das, Surdas, Tulsidas, Meera, Galib, RavindraNath Tagore - Block of Four - India MNH - 01 Oct 1952 - Buy India Stamps - PhilaBasket.com",,16000,1952,india,Used,"[Block of Four, Personality, Ramayana, ]",1,"#BK09 - Indian Saints and Poets - Kabir das, Surdas, Tulsidas, Meera, Galib, RavindraNath Tagore - Block of Four - India MNH - 01 Oct 1952 - Buy India Stamps - PhilaBasket.com.jpg",,,,,
#BK10 - Railway Centenary - Block of Four - India MNH - 16 Apr 1953,#BK10 - Railway Centenary - Block of Four - India MNH - 16 Apr 1953 - Buy India Stamps - PhilaBasket.com,,240,1953,india,Mint,"[Block of Four, Locomotive / Trains, Transport]",1,#BK10 - Railway Centenary - Block of Four - India MNH - 16 Apr 1953 - Buy India Stamps - PhilaBasket.com.jpg,,,,,
